shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237155.01237155,49.2270846,7.0207438,0
237155.01237155,49.2257493,7.0355784,1
237155.01237155,49.2375428,7.0561765,2
237155.01237155,49.2547174,7.0403373,3
237155.01237155,49.276422,7.0329183,4
237155.02237155,49.2270846,7.0207438,0
237155.02237155,49.2257493,7.0355784,1
237155.02237155,49.2375428,7.0561765,2
237155.02237155,49.2547174,7.0403373,3
237155.02237155,49.276422,7.0329183,4
237155.03237155,49.2270846,7.0207438,0
237155.03237155,49.2257493,7.0355784,1
237155.03237155,49.2375428,7.0561765,2
237155.03237155,49.2547174,7.0403373,3
237155.03237155,49.276422,7.0329183,4
237155.04237155,49.2270846,7.0207438,0
237155.04237155,49.2257493,7.0355784,1
237155.04237155,49.2375428,7.0561765,2
237155.04237155,49.2547174,7.0403373,3
237155.04237155,49.276422,7.0329183,4
237155.05237155,49.2270846,7.0207438,0
237155.05237155,49.2257493,7.0355784,1
237155.05237155,49.2375428,7.0561765,2
237155.05237155,49.2547174,7.0403373,3
237155.05237155,49.276422,7.0329183,4
237155.06237155,49.2270846,7.0207438,0
237155.06237155,49.2257493,7.0355784,1
237155.06237155,49.2375428,7.0561765,2
237155.06237155,49.2547174,7.0403373,3
237155.06237155,49.276422,7.0329183,4
237155.07237155,49.2270846,7.0207438,0
237155.07237155,49.2257493,7.0355784,1
237155.07237155,49.2375428,7.0561765,2
237155.07237155,49.2547174,7.0403373,3
237155.07237155,49.276422,7.0329183,4
237155.08237155,49.2270846,7.0207438,0
237155.08237155,49.2257493,7.0355784,1
237155.08237155,49.2375428,7.0561765,2
237155.08237155,49.2547174,7.0403373,3
237155.08237155,49.276422,7.0329183,4
237155.09237155,49.2270846,7.0207438,0
237155.09237155,49.2257493,7.0355784,1
237155.09237155,49.2375428,7.0561765,2
237155.09237155,49.2547174,7.0403373,3
237155.09237155,49.276422,7.0329183,4
237155.010237155,49.2270846,7.0207438,0
237155.010237155,49.2257493,7.0355784,1
237155.010237155,49.2375428,7.0561765,2
237155.010237155,49.2547174,7.0403373,3
237155.010237155,49.276422,7.0329183,4
237155.011237155,49.2270846,7.0207438,0
237155.011237155,49.2257493,7.0355784,1
237155.011237155,49.2375428,7.0561765,2
237155.011237155,49.2547174,7.0403373,3
237155.011237155,49.276422,7.0329183,4
237155.012237155,49.2270846,7.0207438,0
237155.012237155,49.2257493,7.0355784,1
237155.012237155,49.2375428,7.0561765,2
237155.012237155,49.2547174,7.0403373,3
237155.012237155,49.276422,7.0329183,4
237155.013237155,49.2270846,7.0207438,0
237155.013237155,49.2257493,7.0355784,1
237155.013237155,49.2375428,7.0561765,2
237155.013237155,49.2547174,7.0403373,3
237155.013237155,49.276422,7.0329183,4
