trip_id,arrival_time,departure_time,stop_id,stop_sequence
237155.01,05:00:00,05:00:30,3455193488,0
237155.01,05:20:00,05:20:30,3455211377,1
237155.01,05:40:00,05:40:30,297460778,2
237155.01,06:00:00,06:00:30,344240647,3
237155.01,06:20:00,06:20:30,2470507979,4
237155.02,05:20:00,05:20:30,3455193488,0
237155.02,05:40:00,05:40:30,3455211377,1
237155.02,06:00:00,06:00:30,297460778,2
237155.02,06:20:00,06:20:30,344240647,3
237155.02,06:40:00,06:40:30,2470507979,4
237155.03,05:40:00,05:40:30,3455193488,0
237155.03,06:00:00,06:00:30,3455211377,1
237155.03,06:20:00,06:20:30,297460778,2
237155.03,06:40:00,06:40:30,344240647,3
237155.03,07:00:00,07:00:30,2470507979,4
237155.04,06:00:00,06:00:30,3455193488,0
237155.04,06:20:00,06:20:30,3455211377,1
237155.04,06:40:00,06:40:30,297460778,2
237155.04,07:00:00,07:00:30,344240647,3
237155.04,07:20:00,07:20:30,2470507979,4
237155.05,06:20:00,06:20:30,3455193488,0
237155.05,06:40:00,06:40:30,3455211377,1
237155.05,07:00:00,07:00:30,297460778,2
237155.05,07:20:00,07:20:30,344240647,3
237155.05,07:40:00,07:40:30,2470507979,4
237155.06,06:40:00,06:40:30,3455193488,0
237155.06,07:00:00,07:00:30,3455211377,1
237155.06,07:20:00,07:20:30,297460778,2
237155.06,07:40:00,07:40:30,344240647,3
237155.06,08:00:00,08:00:30,2470507979,4
237155.07,07:00:00,07:00:30,3455193488,0
237155.07,07:20:00,07:20:30,3455211377,1
237155.07,07:40:00,07:40:30,297460778,2
237155.07,08:00:00,08:00:30,344240647,3
237155.07,08:20:00,08:20:30,2470507979,4
237155.08,07:20:00,07:20:30,3455193488,0
237155.08,07:40:00,07:40:30,3455211377,1
237155.08,08:00:00,08:00:30,297460778,2
237155.08,08:20:00,08:20:30,344240647,3
237155.08,08:40:00,08:40:30,2470507979,4
237155.09,07:40:00,07:40:30,3455193488,0
237155.09,08:00:00,08:00:30,3455211377,1
237155.09,08:20:00,08:20:30,297460778,2
237155.09,08:40:00,08:40:30,344240647,3
237155.09,09:00:00,09:00:30,2470507979,4
237155.010,08:00:00,08:00:30,3455193488,0
237155.010,08:20:00,08:20:30,3455211377,1
237155.010,08:40:00,08:40:30,297460778,2
237155.010,09:00:00,09:00:30,344240647,3
237155.010,09:20:00,09:20:30,2470507979,4
237155.011,08:20:00,08:20:30,3455193488,0
237155.011,08:40:00,08:40:30,3455211377,1
237155.011,09:00:00,09:00:30,297460778,2
237155.011,09:20:00,09:20:30,344240647,3
237155.011,09:40:00,09:40:30,2470507979,4
237155.012,08:40:00,08:40:30,3455193488,0
237155.012,09:00:00,09:00:30,3455211377,1
237155.012,09:20:00,09:20:30,297460778,2
237155.012,09:40:00,09:40:30,344240647,3
237155.012,10:00:00,10:00:30,2470507979,4
237155.013,09:00:00,09:00:30,3455193488,0
237155.013,09:20:00,09:20:30,3455211377,1
237155.013,09:40:00,09:40:30,297460778,2
237155.013,10:00:00,10:00:30,344240647,3
237155.013,10:20:00,10:20:30,2470507979,4
237155.014,09:20:00,09:20:30,3455193488,0
237155.014,09:40:00,09:40:30,3455211377,1
237155.014,10:00:00,10:00:30,297460778,2
237155.014,10:20:00,10:20:30,344240647,3
237155.014,10:40:00,10:40:30,2470507979,4
237155.015,09:40:00,09:40:30,3455193488,0
237155.015,10:00:00,10:00:30,3455211377,1
237155.015,10:20:00,10:20:30,297460778,2
237155.015,10:40:00,10:40:30,344240647,3
237155.015,11:00:00,11:00:30,2470507979,4
237155.016,10:00:00,10:00:30,3455193488,0
237155.016,10:20:00,10:20:30,3455211377,1
237155.016,10:40:00,10:40:30,297460778,2
237155.016,11:00:00,11:00:30,344240647,3
237155.016,11:20:00,11:20:30,2470507979,4
237155.017,10:20:00,10:20:30,3455193488,0
237155.017,10:40:00,10:40:30,3455211377,1
237155.017,11:00:00,11:00:30,297460778,2
237155.017,11:20:00,11:20:30,344240647,3
237155.017,11:40:00,11:40:30,2470507979,4
237155.018,10:40:00,10:40:30,3455193488,0
237155.018,11:00:00,11:00:30,3455211377,1
237155.018,11:20:00,11:20:30,297460778,2
237155.018,11:40:00,11:40:30,344240647,3
237155.018,12:00:00,12:00:30,2470507979,4
237155.019,11:00:00,11:00:30,3455193488,0
237155.019,11:20:00,11:20:30,3455211377,1
237155.019,11:40:00,11:40:30,297460778,2
237155.019,12:00:00,12:00:30,344240647,3
237155.019,12:20:00,12:20:30,2470507979,4
237155.020,11:20:00,11:20:30,3455193488,0
237155.020,11:40:00,11:40:30,3455211377,1
237155.020,12:00:00,12:00:30,297460778,2
237155.020,12:20:00,12:20:30,344240647,3
237155.020,12:40:00,12:40:30,2470507979,4
237155.021,11:40:00,11:40:30,3455193488,0
237155.021,12:00:00,12:00:30,3455211377,1
237155.021,12:20:00,12:20:30,297460778,2
237155.021,12:40:00,12:40:30,344240647,3
237155.021,13:00:00,13:00:30,2470507979,4
237155.022,12:00:00,12:00:30,3455193488,0
237155.022,12:20:00,12:20:30,3455211377,1
237155.022,12:40:00,12:40:30,297460778,2
237155.022,13:00:00,13:00:30,344240647,3
237155.022,13:20:00,13:20:30,2470507979,4
237155.023,12:20:00,12:20:30,3455193488,0
237155.023,12:40:00,12:40:30,3455211377,1
237155.023,13:00:00,13:00:30,297460778,2
237155.023,13:20:00,13:20:30,344240647,3
237155.023,13:40:00,13:40:30,2470507979,4
237155.024,12:40:00,12:40:30,3455193488,0
237155.024,13:00:00,13:00:30,3455211377,1
237155.024,13:20:00,13:20:30,297460778,2
237155.024,13:40:00,13:40:30,344240647,3
237155.024,14:00:00,14:00:30,2470507979,4
237155.025,13:00:00,13:00:30,3455193488,0
237155.025,13:20:00,13:20:30,3455211377,1
237155.025,13:40:00,13:40:30,297460778,2
237155.025,14:00:00,14:00:30,344240647,3
237155.025,14:20:00,14:20:30,2470507979,4
237155.026,13:20:00,13:20:30,3455193488,0
237155.026,13:40:00,13:40:30,3455211377,1
237155.026,14:00:00,14:00:30,297460778,2
237155.026,14:20:00,14:20:30,344240647,3
237155.026,14:40:00,14:40:30,2470507979,4
237155.027,13:40:00,13:40:30,3455193488,0
237155.027,14:00:00,14:00:30,3455211377,1
237155.027,14:20:00,14:20:30,297460778,2
237155.027,14:40:00,14:40:30,344240647,3
237155.027,15:00:00,15:00:30,2470507979,4
237155.028,14:00:00,14:00:30,3455193488,0
237155.028,14:20:00,14:20:30,3455211377,1
237155.028,14:40:00,14:40:30,297460778,2
237155.028,15:00:00,15:00:30,344240647,3
237155.028,15:20:00,15:20:30,2470507979,4
237155.029,14:20:00,14:20:30,3455193488,0
237155.029,14:40:00,14:40:30,3455211377,1
237155.029,15:00:00,15:00:30,297460778,2
237155.029,15:20:00,15:20:30,344240647,3
237155.029,15:40:00,15:40:30,2470507979,4
237155.030,14:40:00,14:40:30,3455193488,0
237155.030,15:00:00,15:00:30,3455211377,1
237155.030,15:20:00,15:20:30,297460778,2
237155.030,15:40:00,15:40:30,344240647,3
237155.030,16:00:00,16:00:30,2470507979,4
237155.031,15:00:00,15:00:30,3455193488,0
237155.031,15:20:00,15:20:30,3455211377,1
237155.031,15:40:00,15:40:30,297460778,2
237155.031,16:00:00,16:00:30,344240647,3
237155.031,16:20:00,16:20:30,2470507979,4
237155.032,15:20:00,15:20:30,3455193488,0
237155.032,15:40:00,15:40:30,3455211377,1
237155.032,16:00:00,16:00:30,297460778,2
237155.032,16:20:00,16:20:30,344240647,3
237155.032,16:40:00,16:40:30,2470507979,4
237155.033,15:40:00,15:40:30,3455193488,0
237155.033,16:00:00,16:00:30,3455211377,1
237155.033,16:20:00,16:20:30,297460778,2
237155.033,16:40:00,16:40:30,344240647,3
237155.033,17:00:00,17:00:30,2470507979,4
237155.034,16:00:00,16:00:30,3455193488,0
237155.034,16:20:00,16:20:30,3455211377,1
237155.034,16:40:00,16:40:30,297460778,2
237155.034,17:00:00,17:00:30,344240647,3
237155.034,17:20:00,17:20:30,2470507979,4
237155.035,16:20:00,16:20:30,3455193488,0
237155.035,16:40:00,16:40:30,3455211377,1
237155.035,17:00:00,17:00:30,297460778,2
237155.035,17:20:00,17:20:30,344240647,3
237155.035,17:40:00,17:40:30,2470507979,4
237155.036,16:40:00,16:40:30,3455193488,0
237155.036,17:00:00,17:00:30,3455211377,1
237155.036,17:20:00,17:20:30,297460778,2
237155.036,17:40:00,17:40:30,344240647,3
237155.036,18:00:00,18:00:30,2470507979,4
237155.037,17:00:00,17:00:30,3455193488,0
237155.037,17:20:00,17:20:30,3455211377,1
237155.037,17:40:00,17:40:30,297460778,2
237155.037,18:00:00,18:00:30,344240647,3
237155.037,18:20:00,18:20:30,2470507979,4
237155.038,17:20:00,17:20:30,3455193488,0
237155.038,17:40:00,17:40:30,3455211377,1
237155.038,18:00:00,18:00:30,297460778,2
237155.038,18:20:00,18:20:30,344240647,3
237155.038,18:40:00,18:40:30,2470507979,4
237155.039,17:40:00,17:40:30,3455193488,0
237155.039,18:00:00,18:00:30,3455211377,1
237155.039,18:20:00,18:20:30,297460778,2
237155.039,18:40:00,18:40:30,344240647,3
237155.039,19:00:00,19:00:30,2470507979,4
237155.040,18:00:00,18:00:30,3455193488,0
237155.040,18:20:00,18:20:30,3455211377,1
237155.040,18:40:00,18:40:30,297460778,2
237155.040,19:00:00,19:00:30,344240647,3
237155.040,19:20:00,19:20:30,2470507979,4
237155.041,18:20:00,18:20:30,3455193488,0
237155.041,18:40:00,18:40:30,3455211377,1
237155.041,19:00:00,19:00:30,297460778,2
237155.041,19:20:00,19:20:30,344240647,3
237155.041,19:40:00,19:40:30,2470507979,4
237155.042,18:40:00,18:40:30,3455193488,0
237155.042,19:00:00,19:00:30,3455211377,1
237155.042,19:20:00,19:20:30,297460778,2
237155.042,19:40:00,19:40:30,344240647,3
237155.042,20:00:00,20:00:30,2470507979,4
237155.043,19:00:00,19:00:30,3455193488,0
237155.043,19:20:00,19:20:30,3455211377,1
237155.043,19:40:00,19:40:30,297460778,2
237155.043,20:00:00,20:00:30,344240647,3
237155.043,20:20:00,20:20:30,2470507979,4
237155.044,19:20:00,19:20:30,3455193488,0
237155.044,19:40:00,19:40:30,3455211377,1
237155.044,20:00:00,20:00:30,297460778,2
237155.044,20:20:00,20:20:30,344240647,3
237155.044,20:40:00,20:40:30,2470507979,4
237155.045,19:40:00,19:40:30,3455193488,0
237155.045,20:00:00,20:00:30,3455211377,1
237155.045,20:20:00,20:20:30,297460778,2
237155.045,20:40:00,20:40:30,344240647,3
237155.045,21:00:00,21:00:30,2470507979,4
237155.046,20:00:00,20:00:30,3455193488,0
237155.046,20:20:00,20:20:30,3455211377,1
237155.046,20:40:00,20:40:30,297460778,2
237155.046,21:00:00,21:00:30,344240647,3
237155.046,21:20:00,21:20:30,2470507979,4
237155.047,20:20:00,20:20:30,3455193488,0
237155.047,20:40:00,20:40:30,3455211377,1
237155.047,21:00:00,21:00:30,297460778,2
237155.047,21:20:00,21:20:30,344240647,3
237155.047,21:40:00,21:40:30,2470507979,4
237155.048,20:40:00,20:40:30,3455193488,0
237155.048,21:00:00,21:00:30,3455211377,1
237155.048,21:20:00,21:20:30,297460778,2
237155.048,21:40:00,21:40:30,344240647,3
237155.048,22:00:00,22:00:30,2470507979,4
237155.049,21:00:00,21:00:30,3455193488,0
237155.049,21:20:00,21:20:30,3455211377,1
237155.049,21:40:00,21:40:30,297460778,2
237155.049,22:00:00,22:00:30,344240647,3
237155.049,22:20:00,22:20:30,2470507979,4
237155.050,21:20:00,21:20:30,3455193488,0
237155.050,21:40:00,21:40:30,3455211377,1
237155.050,22:00:00,22:00:30,297460778,2
237155.050,22:20:00,22:20:30,344240647,3
237155.050,22:40:00,22:40:30,2470507979,4
237155.051,21:40:00,21:40:30,3455193488,0
237155.051,22:00:00,22:00:30,3455211377,1
237155.051,22:20:00,22:20:30,297460778,2
237155.051,22:40:00,22:40:30,344240647,3
237155.051,23:00:00,23:00:30,2470507979,4
237155.052,22:00:00,22:00:30,3455193488,0
237155.052,22:20:00,22:20:30,3455211377,1
237155.052,22:40:00,22:40:30,297460778,2
237155.052,23:00:00,23:00:30,344240647,3
237155.052,23:20:00,23:20:30,2470507979,4
237155.053,22:20:00,22:20:30,3455193488,0
237155.053,22:40:00,22:40:30,3455211377,1
237155.053,23:00:00,23:00:30,297460778,2
237155.053,23:20:00,23:20:30,344240647,3
237155.053,23:40:00,23:40:30,2470507979,4
237155.054,22:40:00,22:40:30,3455193488,0
237155.054,23:00:00,23:00:30,3455211377,1
237155.054,23:20:00,23:20:30,297460778,2
237155.054,23:40:00,23:40:30,344240647,3
237155.054,24:00:00,24:00:30,2470507979,4
237155.11,05:00:00,05:00:30,3455193488,0
237155.11,05:20:00,05:20:30,3455211377,1
237155.11,05:40:00,05:40:30,297460778,2
237155.11,06:00:00,06:00:30,344240647,3
237155.11,06:20:00,06:20:30,2470507979,4
237155.12,05:20:00,05:20:30,3455193488,0
237155.12,05:40:00,05:40:30,3455211377,1
237155.12,06:00:00,06:00:30,297460778,2
237155.12,06:20:00,06:20:30,344240647,3
237155.12,06:40:00,06:40:30,2470507979,4
237155.13,05:40:00,05:40:30,3455193488,0
237155.13,06:00:00,06:00:30,3455211377,1
237155.13,06:20:00,06:20:30,297460778,2
237155.13,06:40:00,06:40:30,344240647,3
237155.13,07:00:00,07:00:30,2470507979,4
237155.14,06:00:00,06:00:30,3455193488,0
237155.14,06:20:00,06:20:30,3455211377,1
237155.14,06:40:00,06:40:30,297460778,2
237155.14,07:00:00,07:00:30,344240647,3
237155.14,07:20:00,07:20:30,2470507979,4
237155.15,06:20:00,06:20:30,3455193488,0
237155.15,06:40:00,06:40:30,3455211377,1
237155.15,07:00:00,07:00:30,297460778,2
237155.15,07:20:00,07:20:30,344240647,3
237155.15,07:40:00,07:40:30,2470507979,4
237155.16,06:40:00,06:40:30,3455193488,0
237155.16,07:00:00,07:00:30,3455211377,1
237155.16,07:20:00,07:20:30,297460778,2
237155.16,07:40:00,07:40:30,344240647,3
237155.16,08:00:00,08:00:30,2470507979,4
237155.17,07:00:00,07:00:30,3455193488,0
237155.17,07:20:00,07:20:30,3455211377,1
237155.17,07:40:00,07:40:30,297460778,2
237155.17,08:00:00,08:00:30,344240647,3
237155.17,08:20:00,08:20:30,2470507979,4
237155.18,07:20:00,07:20:30,3455193488,0
237155.18,07:40:00,07:40:30,3455211377,1
237155.18,08:00:00,08:00:30,297460778,2
237155.18,08:20:00,08:20:30,344240647,3
237155.18,08:40:00,08:40:30,2470507979,4
237155.19,07:40:00,07:40:30,3455193488,0
237155.19,08:00:00,08:00:30,3455211377,1
237155.19,08:20:00,08:20:30,297460778,2
237155.19,08:40:00,08:40:30,344240647,3
237155.19,09:00:00,09:00:30,2470507979,4
237155.110,08:00:00,08:00:30,3455193488,0
237155.110,08:20:00,08:20:30,3455211377,1
237155.110,08:40:00,08:40:30,297460778,2
237155.110,09:00:00,09:00:30,344240647,3
237155.110,09:20:00,09:20:30,2470507979,4
237155.111,08:20:00,08:20:30,3455193488,0
237155.111,08:40:00,08:40:30,3455211377,1
237155.111,09:00:00,09:00:30,297460778,2
237155.111,09:20:00,09:20:30,344240647,3
237155.111,09:40:00,09:40:30,2470507979,4
237155.112,08:40:00,08:40:30,3455193488,0
237155.112,09:00:00,09:00:30,3455211377,1
237155.112,09:20:00,09:20:30,297460778,2
237155.112,09:40:00,09:40:30,344240647,3
237155.112,10:00:00,10:00:30,2470507979,4
237155.113,09:00:00,09:00:30,3455193488,0
237155.113,09:20:00,09:20:30,3455211377,1
237155.113,09:40:00,09:40:30,297460778,2
237155.113,10:00:00,10:00:30,344240647,3
237155.113,10:20:00,10:20:30,2470507979,4
237155.114,09:20:00,09:20:30,3455193488,0
237155.114,09:40:00,09:40:30,3455211377,1
237155.114,10:00:00,10:00:30,297460778,2
237155.114,10:20:00,10:20:30,344240647,3
237155.114,10:40:00,10:40:30,2470507979,4
237155.115,09:40:00,09:40:30,3455193488,0
